state_abbreviation,state,status,date_details,restriction_start,restriction_end,status_details,external_link,opened_food_and_drink,opened_personal_care,closed_entertainment,opened_entertainment,opened_retail,opened_outdoor_and_recreation,opened_industries,closed_food_and_drink,opened_houses_of_worship,closed_outdoor_and_recreation,population
AK,Alaska,reopened,Stay-at-home order expired on April 24.,,2020-04-24,"Gov. Mike Dunleavy, a Republican, eased restrictions on several kinds of businesses starting April 24. Alaska became one of the first states to make a nearly complete reopening, with all businesses allowed to open at full capacity on May 22.",https://www.cnn.com/2020/05/21/us/alaska-reopening-friday/index.html,Restaurant dining; Bars,"Hair salons, barbershops, nail salons, etc.",,Libraries; Theaters; Bowling alleys; Museums,Retail stores,Gyms; Pools,,,True,,731545
AL,Alabama,pausing,Stay-at-home order expired on April 30.,,2020-04-30,"Gov. Kay Ivey, a Republican, ordered residents to stay home for much of April and began reopening businesses May 1. Since May 22, Alabama has been in a second stage of “Safer at Home,” with capacity limits on businesses and some gatherings. With cases rising, Ms. Ivey extended those guidelines until the end of July.",https://www.al.com/news/2020/06/gov-kay-ivey-offering-coronavirus-update-today.html,"Restaurant dining, bars and breweries",Salons,,Entertainment venues,Retail stores,Beaches; Gyms,,,True,,4903185
AR,Arkansas,pausing,Did not have a statewide stay-at-home order.,,,"Gov. Asa Hutchinson, a Republican, never implemented a statewide stay-at-home order, instead opting to close high-contact businesses like gyms and personal care services. The state began reopening many of these in early May and raised capacity limits for many sectors in mid-June. Arkansas has seen one of the steepest increases in coronavirus cases since its reopening began.",https://www.kspr.com/content/news/Arkansas-governor-No-further-reopening-as-virus-cases-surge-571501921.html,Restaurant dining; Bars,"Hair salons, barbershops, nail salons, etc.",,"Theaters, stadiums, museums, bowling alleys; Casinos; Large venues",Retail,Campgrounds; Gyms; Pools,,,True,,3017804
AZ,Arizona,reversing,Stay-at-home order expired on May 15.,,2020-05-15,"Gov. Doug Ducey, a Republican, began gradually reopening businesses in early May. After his stay-at-home order expired May 15, Arizona saw cases soar. In response, on June 29, Mr. Ducey announced that the state would “pause” operations of bars, gyms, movie theaters, waterparks and tubing rentals for one month to contain the virus’s spread.",https://www.azcentral.com/story/news/local/arizona-health/2020/06/29/arizona-coronavirus-update-from-governor-doug-ducey-june-29/3280626001/,Restaurant dining,"Barbershops, salons, etc.",Movie theaters,Casinos,Retail stores,"Pools, spas",,Bars,True,Gyms; Waterparks,7278717
CA,California,reversing,Stay-at-home order in effect since March 19.,2020-03-19,,"Gov. Gavin Newsom, a Democrat, has emphasized caution and allowed counties to reopen sectors only as they meet certain criteria for testing and transmission rates. Many California counties reopened businesses such as restaurants and personal care services in May. In response to rising case counts in recent weeks, the state has created a “watch list” of counties where bars, indoor dining and other indoor activities must close until the virus’s spread is controlled.",https://www.latimes.com/projects/california-coronavirus-cases-tracking-outbreak/reopening-across-counties/,Restaurant dining in some counties; Bars in some counties,"Pet groomers; Hair salons and barbershops in some counties; Nail salons, cosmetology services, tattoo parlors, piercing shops in some counties",,"Casinos in some counties; Museums, galleries, zoos, aquariums in some counties; Bowling alleys, arcades, mini golf, theaters in some counties",Retail,Gyms in some counties,"Manufacturing; Warehouses; Offices; Movie, TV and music production",,True,,39512223
CO,Colorado,reversing,Stay-at-home order expired on April 26.,,2020-04-26,"Gov. Jared Polis was one of the first Democratic governors to begin reopening his state, letting Colorado's stay-at-home order expire on April 26. Businesses reopened throughout May and June, but in response to continuing outbreaks in neighboring states, on July 1, Mr. Polis extended the state’s Safer at Home phase and closed bars. Counties and communities that meet certain criteria could reopen bars or move further along in reopening later this month.",https://denver.cbslocal.com/2020/06/30/polis-colorado-bars-coronavirus/,Restaurant dining,Salons and personal services,Casinos,"Museums, indoor events; Fairs, rodeos, concerts, outdoor events; Libraries",Retail stores,"Campgrounds; Pools, playgrounds; Gyms",Offices; Manufacturing,Bars,True,,5758736
CT,Connecticut,pausing,Stay-at-home order expired on May 20.,,2020-05-20,"Connecticut was one of the last states to begin reopening, as Gov. Ned Lamont, a Democrat, allowed the state’s stay-at-home order to expire on May 20. A second phase of reopening was moved up in June after a favorable downward trend in case numbers. But Mr. Lamont postponed a third phase, which would have reopened bars and increased capacity limits for reopened businesses, in response to rising cases in neighboring states.",https://www.courant.com/coronavirus/hc-news-coronavirus-clb-reopening-paused-20200707-lnivp6hb4redtphmjj7yif3kci-story.html,Restaurant dining,"Hair salons, barbershops; Nail salons; Tattoo parlors, spas",,"Museums, zoos; Casinos; Movie theaters; Libraries; Amusement parks, bowling alleys","Retail stores, malls",Beaches; Gyms; State campgrounds,Offices,Bars,True,,3565287
DC,District of Columbia,reopening,Stay-at-home order expired on May 29.,,2020-05-29,"Washington, D.C., was under one of the nation’s strictest lockdowns until Mayor Muriel Bowser, a Democrat, began reopening on May 29, lifting a stay-at-home order before it was scheduled to expire. On June 22, she opened a second round of businesses.",https://www.washingtonpost.com/dc-md-va/2020/05/08/dc-reopen-coronavirus-faq/,Restaurants dining,"Barbershops, hair salons; Nail salons, waxing salons, spas",Nightclubs,"Museums, libraries",Retail stores,"Dog parks, golf courses, tennis courts, parks; Gyms",,,True,,705749
DE,Delaware,pausing,Shelter in place expired on May 31.,,2020-05-31,"Gov. John Carney, a Democrat, has overseen one of the slower reopenings, beginning June 1 with a limited number of businesses. Delaware moved into a second phase on June 15. After an increase in cases, Mr. Carney decided to delay the start of Phase 3, which was scheduled for the end of June.",https://www.delawareonline.com/story/news/coronavirus-in-delaware/2020/06/25/delaware-wont-go-into-phase-3-monday-gov-john-carney-says-coronavirus-delaware-reopen-covid-19/3260541001/,Farmers markets; Restaurants; Bars in some areas,"Barber shops, hair salons, tanning salons; Nail salons, tattoo parlors, massage therapy",,"Museums, libraries, galleries, live performances; Casinos",Retail stores; Malls,Beaches; Pools; Gyms; Campgrounds,,,True,,973764
FL,Florida,reversing,Stay-at-home order expired on May 4.,,2020-05-04,"Gov. Ron DeSantis, a Republican, gradually opened businesses in May, starting in Florida’s less populous counties. In early June, he moved forward with reopening bars and larger entertainment venues in some counties, even as case counts rose. On June 26, he moved to effectively shutter bars again after a spike in cases.",https://www.tampabay.com/news/health/2020/06/26/drinking-alcohol-at-florida-bars-suspended/,Restaurant dining,"Salons; Tattoo parlors, massage therapy, tanning salons, acupuncture in most counties",,"Sporting venues without spectators; Museums, libraries; Movie theaters, concert halls, bowling alleys in most counties",Retail stores,"Beaches, trails; Gyms",,Bars,True,,21477737
